createDate,taskName,mode,weaponName,map,version,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,visualCapacity,hitsTotal,missesTotal
02/24/2021 04:19:17,capacity,0,9mm,0,-gitBranch.285,62.5,100.0,100.0,0.0,66.6666641,75.0,0,0,0.0,1462.6673927307127,1183.228515625,1981.1953125,2078.950927734375,1166.5008036295571,1758.9370422363281,0,0,1470.6610107421875,112,6.58823538,10,6
02/24/2021 04:19:17,capacity,0,9mm,0,-gitBranch.285,62.5,100.0,100.0,0.0,66.6666641,75.0,0,0,0.0,1462.6673927307127,1183.228515625,1981.1953125,2078.950927734375,1166.5008036295571,1758.9370422363281,0,0,1470.6610107421875,112,6.58823538,10,6
02/22/2021 06:53:15,capacity,10,9mm,0,-gitBranch.285,50.0,33.3333321,0,100.0,0.0,50.0,0.0,100.0,100.0,1509.7043190002441,1120.9464721679688,0,994.5694580078125,1372.2254638671875,3296.6014404296875,1602.0562133789063,857.33978271484375,1469.3800862630208,76,4.470588,8,8
02/22/2021 06:53:15,capacity,10,9mm,0,-gitBranch.285,50.0,33.3333321,0,100.0,0.0,50.0,0.0,100.0,100.0,1509.7043190002441,1120.9464721679688,0,994.5694580078125,1372.2254638671875,3296.6014404296875,1602.0562133789063,857.33978271484375,1469.3800862630208,76,4.470588,8,8
02/21/2021 23:17:14,capacity,0,9mm,0,-gitBranch.285,56.25,50.0,100.0,0,33.3333321,0.0,0,100.0,75.0,1496.2061767578125,2361.0078125,1232.5767822265625,0,1404.0347900390625,1269.5766194661458,0,1558.355224609375,1403.646240234375,104,6.117647,9,7
02/21/2021 23:17:14,capacity,0,9mm,0,-gitBranch.285,56.25,50.0,100.0,0,33.3333321,0.0,0,100.0,75.0,1496.2061767578125,2361.0078125,1232.5767822265625,0,1404.0347900390625,1269.5766194661458,0,1558.355224609375,1403.646240234375,104,6.117647,9,7
02/21/2021 03:02:30,capacity,0,9mm,0,-gitBranch.285,58.82353,66.6666641,0,50.0,75.0,66.6666641,0,0,40.0,1309.6152379653033,1619.753662109375,0,1304.3441162109375,1200.3993072509766,1217.1439819335938,0,0,1268.4961303710938,91,5.05555534,10,7
02/21/2021 03:02:30,capacity,0,9mm,0,-gitBranch.285,58.82353,66.6666641,0,50.0,75.0,66.6666641,0,0,40.0,1309.6152379653033,1619.753662109375,0,1304.3441162109375,1200.3993072509766,1217.1439819335938,0,0,1268.4961303710938,91,5.05555534,10,7
02/21/2021 02:21:02,capacity,0,9mm,0,-gitBranch.285,52.9411774,0.0,0,0,100.0,40.0,50.0,100.0,75.0,1251.2452715705419,2113.1622111002603,0,0,872.11813354492188,958.35710449218755,1484.7791748046875,676.9571533203125,1187.2864227294922,63,3.5,9,8
02/21/2021 02:21:02,capacity,0,9mm,0,-gitBranch.285,52.9411774,0.0,0,0,100.0,40.0,50.0,100.0,75.0,1251.2452715705419,2113.1622111002603,0,0,872.11813354492188,958.35710449218755,1484.7791748046875,676.9571533203125,1187.2864227294922,63,3.5,9,8
