createDate,taskName,mode,weaponName,map,version,OTR,avgTimeOn,maxTimeOn,avgTimeOff,maxTimeOff,missUp,missUpLeft,missUpRight,missLeft,missRight,missDown,missDownLeft,missDownRight
03/10/2021 08:10:38,motiontrack,10,9mm,0,-gitBranch.285,28.0,287.893341,1520.00171,86.71999,447.9997,28,104,42,357,218,20,38,91
03/09/2021 07:58:37,motiontrack,10,9mm,0,-gitBranch.285,29.0,558.0001,2423.997,89.56098,319.9999,10,26,3,127,168,36,42,87
03/08/2021 02:15:54,motiontrack,10,9mm,0,-gitBranch.285,29.0,424.627625,2231.99976,91.8461456,423.999725,43,34,85,200,112,4,86,84
03/08/2021 02:14:42,motiontrack,10,9mm,0,-gitBranch.285,29.0,451.2,2535.99561,89.1199951,423.999725,1,65,72,212,179,19,43,62
03/06/2021 05:55:28,motiontrack,10,9mm,0,-gitBranch.285,28.0,275.8481,1576.00171,80.81013,359.999847,2,45,86,277,424,1,19,23
03/04/2021 22:50:20,motiontrack,10,9mm,0,-gitBranch.285,27.0000019,251.443008,1688.002,101.79998,455.999664,9,22,120,148,424,40,145,138
02/25/2021 00:03:26,motiontrack,10,9mm,0,-gitBranch.285,27.0000019,282.117645,1224.0011,111.652168,832.000244,34,78,104,290,261,46,121,56
02/25/2021 00:02:11,motiontrack,10,9mm,0,-gitBranch.285,26.0,226.260864,1376.00134,75.5652161,519.999634,2,90,52,397,289,18,64,58
02/25/2021 00:00:48,motiontrack,10,9mm,0,-gitBranch.285,24.0,230.63414,1232.0011,130.795166,471.999634,64,295,114,431,221,18,137,126
02/22/2021 21:35:24,motiontrack,10,9mm,0,-gitBranch.285,23.0,178.9307,1848.00232,109.861389,840.000244,47,67,140,406,544,32,48,109
